smiles
CCCCCCCCC(O)CO
CCCCCCCCC(O)CCO
CCCCCCCCCCCCC(O)CCO
CCCCCCCCOCCO
CCCCCCCCOCCOCCOCCO
CCCCCCCCOCCOCCOCCOCCOCCO
CCCCCCCCOCCOCCOCCOCCOCCOCCO
CCCCCCCCCCOCCOCCOCCOCCO
CCCCCCCCCCOCCOCCOCCOCCOCCO
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO
CCCCCCCCCCCCOCCOCCO
CCCCCCCCCCCCOCCOCCOCCO
CCCCCCCCCCCCOCCOCCOCCOCCO
CCCCCCCCCCCCOCCOCCOCCOCCOCCO
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO
CCCCCCCCCCCCCOCCOCCOCCOCCOCCO
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO
CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
CCCCCCCCCCCC(=O)N(CCO)CCO
OCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
OCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
OCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
OCCOCCOCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1
CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1
